"InitDate","Year","ValueMax","ValueMin","Value50","Value10","Value90","Set","Month","Location","Value"
2005-01-01,2005,29,0.5,11,0.5,29,"NRCS",1,"Gerber Reservoir Inflow",31.8707529846
2006-01-01,2006,40,4.1,22,4.1,40,"NRCS",1,"Gerber Reservoir Inflow",35.4284436195
2007-01-01,2007,32,0.4,14,0.4,32,"NRCS",1,"Gerber Reservoir Inflow",38.130425627
2008-01-01,2008,27,1,9.8,1,27,"NRCS",1,"Gerber Reservoir Inflow",36.6929255792
2009-01-01,2009,33,1,15,1,33,"NRCS",1,"Gerber Reservoir Inflow",35.4223742013
2010-01-01,2010,26,0.2,8,0.2,26,"NRCS",1,"Gerber Reservoir Inflow",33.0294961586
2011-01-01,2011,47,11.5,29,11.5,47,"NRCS",1,"Gerber Reservoir Inflow",33.2393274499
2012-01-01,2012,26,0.4,8.9,0.4,26,"NRCS",1,"Gerber Reservoir Inflow",35.7018847937
2013-01-01,2013,34,0.3,13,0.3,34,"NRCS",1,"Gerber Reservoir Inflow",NA
2014-01-01,2014,15.3,0.1,3,0.1,15.3,"NRCS",1,"Gerber Reservoir Inflow",NA
2015-01-01,2015,26,0.3,5.6,0.3,26,"NRCS",1,"Gerber Reservoir Inflow",NA
2016-01-01,2016,35,1.1,17,1.1,35,"NRCS",1,"Gerber Reservoir Inflow",NA
2017-01-01,2017,0.1,35,16.7,35,0.1,"NRCS",1,"Gerber Reservoir Inflow",NA
2005-02-01,2005,23,0.2,8.5,0.2,23,"NRCS",2,"Gerber Reservoir Inflow",31.8707529846
2006-02-01,2006,38,9.7,24,9.7,38,"NRCS",2,"Gerber Reservoir Inflow",35.4284436195
2007-02-01,2007,24,0.7,10,0.7,24,"NRCS",2,"Gerber Reservoir Inflow",38.130425627
2008-02-01,2008,31,0.5,16,0.5,31,"NRCS",2,"Gerber Reservoir Inflow",36.6929255792
2009-02-01,2009,26,1,11,1,26,"NRCS",2,"Gerber Reservoir Inflow",35.4223742013
2010-02-01,2010,24,0.7,8.8,0.7,24,"NRCS",2,"Gerber Reservoir Inflow",33.0294961586
2011-02-01,2011,34,3.4,18.9,3.4,34,"NRCS",2,"Gerber Reservoir Inflow",33.2393274499
2012-02-01,2012,26,0.7,11,0.7,26,"NRCS",2,"Gerber Reservoir Inflow",35.7018847937
2013-02-01,2013,25,0.3,10,0.3,25,"NRCS",2,"Gerber Reservoir Inflow",NA
2014-02-01,2014,15.8,0,0.3,0,15.8,"NRCS",2,"Gerber Reservoir Inflow",NA
2015-02-01,2015,19.5,0.1,4,0.1,19.5,"NRCS",2,"Gerber Reservoir Inflow",NA
2016-02-01,2016,32,1.5,17,1.5,32,"NRCS",2,"Gerber Reservoir Inflow",NA
2005-03-01,2005,19.4,0.2,5,0.2,19.4,"NRCS",3,"Gerber Reservoir Inflow",31.8707529846
2006-03-01,2006,38,9.6,24,9.6,38,"NRCS",3,"Gerber Reservoir Inflow",35.4284436195
2007-03-01,2007,25,0.5,11,0.5,25,"NRCS",3,"Gerber Reservoir Inflow",38.130425627
2008-03-01,2008,31,4.5,18,4.5,31,"NRCS",3,"Gerber Reservoir Inflow",36.6929255792
2009-03-01,2009,24,0.5,10.5,0.5,24,"NRCS",3,"Gerber Reservoir Inflow",35.4223742013
2010-03-01,2010,15,0.2,5,0.2,15,"NRCS",3,"Gerber Reservoir Inflow",33.0294961586
2011-03-01,2011,32,5.2,18.7,5.2,32,"NRCS",3,"Gerber Reservoir Inflow",33.2393274499
2013-03-01,2013,24,0.4,10.5,0.4,24,"NRCS",3,"Gerber Reservoir Inflow",NA
2014-03-01,2014,15.7,0.1,2.2,0.1,15.7,"NRCS",3,"Gerber Reservoir Inflow",NA
2015-03-01,2015,18.1,0.1,4.6,0.1,18.1,"NRCS",3,"Gerber Reservoir Inflow",NA
2016-03-01,2016,24,0.4,11,0.4,24,"NRCS",3,"Gerber Reservoir Inflow",NA
2005-04-01,2005,14,2.7,5,2.7,14,"NRCS",4,"Gerber Reservoir Inflow",31.8707529846
2006-04-01,2006,37,19,28,19,37,"NRCS",4,"Gerber Reservoir Inflow",35.4284436195
2007-04-01,2007,16,0.2,7,0.2,16,"NRCS",4,"Gerber Reservoir Inflow",38.130425627
2008-04-01,2008,30,5.8,17.7,5.8,30,"NRCS",4,"Gerber Reservoir Inflow",36.6929255792
2009-04-01,2009,24,0.2,12.1,0.2,24,"NRCS",4,"Gerber Reservoir Inflow",35.4223742013
2010-04-01,2010,17.9,0.5,6,0.5,17.9,"NRCS",4,"Gerber Reservoir Inflow",33.0294961586
2011-04-01,2011,37,13.1,25,13.1,37,"NRCS",4,"Gerber Reservoir Inflow",33.2393274499
2012-04-01,2012,24,0.7,12,0.7,24,"NRCS",4,"Gerber Reservoir Inflow",35.7018847937
2013-04-01,2013,19.4,0.4,7,0.4,19.4,"NRCS",4,"Gerber Reservoir Inflow",NA
2014-04-01,2014,17.4,0.1,5.5,0.1,17.4,"NRCS",4,"Gerber Reservoir Inflow",NA
2015-04-01,2015,16.5,0.1,4.6,0.1,16.5,"NRCS",4,"Gerber Reservoir Inflow",NA
2016-04-01,2016,23,0.7,11.6,0.7,23,"NRCS",4,"Gerber Reservoir Inflow",NA
