"","rps","rpsc","mon"
"1",0.830246913580247,0.555555555555556,1
"2",0.0756172839506173,0.555555555555556,1
"3",0.570987654320988,0.222222222222222,1
"4",0.816358024691358,0.555555555555556,1
"5",0.559413580246914,0.222222222222222,1
"6",1.78395061728395,0.555555555555556,1
"7",0.524691358024691,0.555555555555556,1
"8",0.402006172839506,0.222222222222222,1
"9",1.08719135802469,0.555555555555556,1
"10",0.989197530864198,0.555555555555556,1
"11",0.170524691358025,0.555555555555556,1
"12",0.389660493827161,0.222222222222222,1
"13",0.890432098765432,0.555555555555556,1
"14",0.618055555555556,0.555555555555556,1
"15",0.883487654320988,0.555555555555556,1
"16",1.01311728395062,0.555555555555556,2
"17",0.680555555555555,0.555555555555556,2
"18",0.401234567901235,0.222222222222222,2
"19",0.186728395061728,0.555555555555556,2
"20",0.451388888888889,0.222222222222222,2
"21",2,0.555555555555556,2
"22",1.1304012345679,0.555555555555556,2
"23",0.439043209876543,0.222222222222222,2
"24",0.433641975308642,0.555555555555556,2
"25",1.13888888888889,0.555555555555556,2
"26",0.158179012345679,0.555555555555556,2
"27",0.697530864197531,0.222222222222222,2
"28",1.26311728395062,0.555555555555556,2
"29",0.250771604938272,0.555555555555556,2
"30",1.21373456790123,0.555555555555556,2
"31",1.08950617283951,0.555555555555556,3
"32",1.48456790123457,0.555555555555556,3
"33",0.841049382716049,0.222222222222222,3
"34",1.58179012345679,0.555555555555556,3
"35",0.189043209876543,0.222222222222222,3
"36",2,0.555555555555556,3
"37",1.21141975308642,0.555555555555556,3
"38",0.66820987654321,0.222222222222222,3
"39",1.73225308641975,0.555555555555556,3
"40",1.6304012345679,0.555555555555556,3
"41",0.100308641975309,0.555555555555556,3
"42",0.563271604938272,0.222222222222222,3
"43",1.89043209876543,0.555555555555556,3
"44",0.0655864197530864,0.555555555555556,3
"45",0.0493827160493827,0.555555555555556,3
"46",0.285493827160494,0.555555555555556,4
"47",2,0.555555555555556,4
"48",0.694444444444445,0.222222222222222,4
"49",1.03780864197531,0.555555555555556,4
"50",0.123456790123457,0.222222222222222,4
"51",2,0.555555555555556,4
"52",1.0625,0.555555555555556,4
"53",0.847222222222222,0.222222222222222,4
"54",1.64891975308642,0.555555555555556,4
"55",0.868055555555556,0.555555555555556,4
"56",1.68055555555556,0.555555555555556,4
"57",0.575617283950617,0.222222222222222,4
"58",1.0625,0.555555555555556,4
"59",0.964506172839506,0.555555555555556,4
"60",0.0493827160493827,0.555555555555556,4
